"Year","Variable","R2","p_value"
"2022","Salinity",0.977972467465969,0.001
"2022","Temperature",0.990567427010802,0.001
"2022","Water Depth",0.20645495781804,0.081
"2022","Chlorophyll",0.428287055773972,0.004
"2023","Salinity",0.93170164360014,0.001
"2023","Temperature",0.920586788191744,0.001
"2023","Water Depth",0.328749083100989,0.009
"2023","Chlorophyll",0.858156524027729,0.001
"2024","Salinity",0.913338155636794,0.001
"2024","Temperature",0.139993412213695,0.18
"2024","Water Depth",0.253607731206209,0.031
"2024","Chlorophyll",0.371264118959216,0.004
"2025","Salinity",0.298952796008728,0.019
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
