"Year","Variable","R2","p_value"
"2022","Salinity",0.961712123432261,0.001
"2022","Temperature",0.981645878308585,0.001
"2022","Water Depth",0.180587983131488,0.091
"2022","Chlorophyll",0.347207879918109,0.011
"2023","Salinity",0.813723330454957,0.001
"2023","Temperature",0.861021409638278,0.001
"2023","Water Depth",0.324019153448194,0.013
"2023","Chlorophyll",0.831326631443407,0.001
"2024","Salinity",0.920278436246982,0.001
"2024","Temperature",0.154965201935956,0.136
"2024","Water Depth",0.292088047095807,0.035
"2024","Chlorophyll",0.38643191412223,0.003
"2025","Salinity",0.214062016129748,0.075
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
