"Year","Variable","R2","p_value"
"2022","Salinity",0.379167132725841,0.058
"2022","Temperature",0.53521659693546,0.011
"2022","Water Depth",0.168026080330083,0.345
"2022","Chlorophyll",0.108193345351787,0.483
"2024","Salinity",0.823881338272651,0.001
"2024","Temperature",0.370606705584186,0.014
"2024","Water Depth",0.279471717454004,0.045
"2024","Chlorophyll",0.41911812501299,0.002
"2025","Salinity",0.388045497799045,0.007
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
