"Year","Variable","R2","p_value"
"2022","Salinity",0.367340482810217,0.076
"2022","Temperature",0.463733378322287,0.033
"2022","Water Depth",0.24189685451403,0.181
"2022","Chlorophyll",0.0978876190732319,0.542
"2023","Salinity",0.88169723519072,0.001
"2023","Temperature",0.887262064778236,0.001
"2023","Water Depth",0.295734934967128,0.023
"2023","Chlorophyll",0.815046161249599,0.001
"2024","Salinity",0.231316069928563,0.056
"2024","Temperature",0.184482363197557,0.076
"2024","Water Depth",0.287620140924188,0.028
"2024","Chlorophyll",0.449707848872532,0.001
"2025","Salinity",0.395679761608233,0.001
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
