"Year","Variable","R2","p_value"
"2022","Salinity",0.854361775172303,0.001
"2022","Temperature",0.916769550353912,0.001
"2022","Water Depth",0.202781178835115,0.081
"2022","Chlorophyll",0.672800806836902,0.001
"2023","Salinity",0.94165118225513,0.001
"2023","Temperature",0.929939309596756,0.001
"2023","Water Depth",0.344877691552343,0.01
"2023","Chlorophyll",0.860140143043337,0.001
"2024","Salinity",0.907504702435863,0.001
"2024","Temperature",0.153808338736323,0.123
"2024","Water Depth",0.29937550521916,0.018
"2024","Chlorophyll",0.471028308392092,0.002
"2025","Salinity",0.392350321456632,0.005
"2025","Temperature",0,1
"2025","Water Depth",0,1
"2025","Chlorophyll",0,1
